Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C9",0805,4,10uF,
"C10, C3, C4, C7",0805,4,100nF,
C11,1210,1,100uF,
C12,0805,1,1uF,
"C13, C5, C8",0805,3,1nF,
"CS1, CS2, DRDY1, IO0, IO15, IO2, IO23, IO34, IO35, IO5, SCL1, SDA1",TestPoint_Pad_2.5x2.5mm,12,TestPoint,
"CTS1, RTS1, RXD1, TXD1",JumperDiamond,4,OR,
D1,0805,1,LED,
D2,D_SOD-323,1,1N5819,
"D3, D4",DFN1006-2N,2,ESD05V88D-LC,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J2,PinHeader_2x08_P1.27mm_Vertical,1,Conn_02x08_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q2",SOT-23,2,S8050,
"R1, R16, R3",0805,3,12K,
"R12, R7, R8",0805,3,470,
"R14, R15",0805,2,5.1k,
R2,0805,1,2K,
"R4, R5",0805,2,2.2k,
R6,0805,1,10k,
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,XDCR_BMI270,1,BMI270,
U3,ESP32­WROOM­32E_EXP,1,ESP32-WROOM-32E-N8,
U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102_QFN_P28,
