Designator,Mid X,Mid Y,Rotation,Layer
C1,161.0,-85.75,90.0,bottom
C10,174.0,-101.0,270.0,bottom
C11,158.05,-98.45,0.0,bottom
C12,158.0,-101.25,0.0,bottom
C13,158.0,-105.75,180.0,bottom
C2,161.0,-82.25,90.0,bottom
C3,167.5,-112.4,180.0,bottom
C4,171.0,-112.4,0.0,bottom
C5,179.0,-123.75,0.0,bottom
C6,177.5,-98.0,270.0,bottom
C7,179.75,-98.0,270.0,bottom
C8,156.0,-123.75,180.0,bottom
C9,171.75,-101.0,270.0,bottom
CTS1,168.75,-93.7775,180.0,bottom
D1,175.75,-84.25,180.0,bottom
D2,167.8,-80.75,180.0,bottom
D3,174.0,-82.25,90.0,bottom
D4,173.75,-79.5,270.0,bottom
J1,167.725,-89.6,270.0,top
J2,167.71,-123.05,270.0,top
J3,153.1,-91.1,0.0,top
J4,153.1,-96.1,0.0,top
J5,167.5,-80.29281,180.0,top
Q1,162.1125,-104.1,180.0,bottom
Q2,166.6125,-104.1,0.0,bottom
R1,164.3625,-107.1,0.0,bottom
R12,161.75,-93.75,270.0,bottom
R14,170.0,-86.65281,180.0,bottom
R15,164.5,-86.65281,0.0,bottom
R16,158.0,-103.5,0.0,bottom
R2,175.0,-86.75,180.0,bottom
R3,164.3625,-101.1,180.0,bottom
R4,167.95,-107.05,180.0,bottom
R5,173.85,-107.7,180.0,bottom
R6,173.9,-110.55,270.0,bottom
R7,179.0,-121.25,180.0,bottom
R8,156.0,-121.25,0.0,bottom
RTS1,166.25,-93.7775,180.0,bottom
RXD1,163.75,-93.8025,180.0,bottom
SW1,179.0,-122.5,270.0,top
SW2,156.0,-122.5,90.0,top
TXD1,165.1,-97.8275,180.0,bottom
U1,155.25,-83.75,180.0,bottom
U2,169.9125,-109.5,0.0,bottom
U3,167.5,-105.19,0.0,top
U4,173.0,-95.75,90.0,bottom
