Designator,Mid X,Mid Y,Rotation,Layer
C1,61.35,-35.2,270.0,top
C1-4,70.75,-32.3,0.0,bottom
C10,62.15,-30.95,90.0,top
C11,69.3,-38.5,270.0,top
C12,68.25,-27.25,0.0,top
C13,64.45,-27.25,0.0,top
C2,66.35,-40.05,180.0,top
C2-5,68.05,-32.9225,0.0,bottom
C3,68.25,-20.75,180.0,top
C3-6,64.75,-33.35,0.0,bottom
C4,64.45,-20.75,180.0,top
C5,71.35,-35.45,90.0,top
C6,61.65,-40.2,270.0,top
C7,63.65,-40.2,270.0,top
C8,62.75,-45.7,270.0,top
C9,66.35,-42.75,0.0,top
CS1,56.7,-31.05,90.0,bottom
CS2,56.7,-34.65,90.0,bottom
CS3,56.7,-37.8,90.0,bottom
J1,57.35,-46.05,90.0,top
J10,66.375,-17.05,270.0,top
J13,66.36,-50.5,270.0,top
J2,75.4,-25.05,270.0,top
J3,75.4,-46.05,270.0,top
J4,57.35,-25.05,90.0,top
J5,66.35,-25.75,90.0,bottom
J6,66.35,-43.85,90.0,bottom
J7,57.35,-35.25,90.0,top
J8,75.45,-35.25,270.0,top
R1,62.9,-35.2,270.0,top
R11,69.25,-45.375,270.0,top
R12,70.75,-45.375,270.0,top
R2,69.85,-31.1,270.0,top
R3,71.35,-32.45,270.0,top
R4,68.35,-24.95,180.0,top
R5,68.35,-22.85,180.0,top
R6,64.35,-22.85,0.0,top
R7,64.35,-24.95,0.0,top
R8,71.35,-29.45,90.0,top
U1,66.35,-33.4975,0.0,top
U2,65.9375,-45.65,0.0,top
